Title,Image,Address,Area,_2shyij,dist_to_airpt,score,rating,add_info1,add_info2,add_info3,add_info4,Price,link,Room,Description,rev_score
Mithila Hotel,https://exp.cdn-hotels.com/hotels/1000000/880000/871800/871791/b09d14be_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,972 Sutter St San Francisco 94109 CA,Lower Nob Hill,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,,,,$122 ,https://www.hotels.com/ho218696/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Family Quadruple Room,City-center hotel within walking distance of The Regency Ballroom,
Hotel Riu Plaza Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/30000/24700/24625/6fb55356_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2500 Mason St San Francisco 94133 CA,North Beach,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.2,Very Good,Pool,Parking available,Gym,Restaurant,$179 ,https://www.hotels.com/ho105656/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Queen Beds,4-star hotel with outdoor pool near Aquarium of the Bay ,
Chancellor Hotel on Union Square,https://exp.cdn-hotels.com/hotels/1000000/30000/20600/20547/58080fa5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,433 Powell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Bathtub,Internet access,Connecting rooms available,,$212 ,https://www.hotels.com/ho164133/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Double Beds ,City-center hotel within easy reach of San Francisco Museum of Modern Art,
La Quinta Inn & Suites by Wyndham San Francisco Airport N,https://exp.cdn-hotels.com/hotels/1000000/10000/9400/9329/d78b724d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,20 Airport Blvd South San Francisco 94080 CA,Downtown South San Francisco,9.5 miles to city center,2.6 miles to San Francisco International Airport (SFO),8,Very Good,Pool,Free parking,Pet-friendly,Airport transfer,$138 ,https://www.hotels.com/ho115204/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Non Smoking,Suburban hotel in Downtown South San Francisco with outdoor pool and 24-hour fitness,
Bay Landing San Francisco Airport Hotel,https://exp.cdn-hotels.com/hotels/2000000/1120000/1110800/1110785/5d5678a9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1550 Bayshore Hwy Burlingame 94010 CA,Burlingame,13 miles to city center,1.7 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,Gym,Bathtub,Connecting rooms available,$161 ,https://www.hotels.com/ho222947/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Double Room 2 Double Beds,Burlingame hotel on waterfront,
Hotel EPIK,https://exp.cdn-hotels.com/hotels/57000000/56010000/56002500/56002425/1be72797_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,706 Polk Street San Francisco 94109 CA,Little Saigon,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Restaurant,Bar,,$115 ,https://www.hotels.com/ho1793077600/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,Hotel with restaurant near Van Ness Avenue ,
Bay Bridge Inn,https://exp.cdn-hotels.com/hotels/2000000/1350000/1345200/1345121/ed8e7558_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,966 Harrison St San Francisco 94107 CA,South of Market,0.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$152 ,https://www.hotels.com/ho234414/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,City Room 2 Double Beds,Convenient to Warfield Theater,
Signature San Francisco,https://exp.cdn-hotels.com/hotels/27000000/26600000/26597900/26597887/0100efb5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,259 7th Street San Francisco 94103 CA,South of Market,0.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Parking available,Free breakfast,Bathtub,,$127 ,https://www.hotels.com/ho852132384/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Executive Suite Multiple Beds,City-center hotel within easy reach of Warfield Theater,
Villa Florence Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/5500/5425/fe00176c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,225 Powell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Gym,Bathtub,Internet access,$207 ,https://www.hotels.com/ho129366/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Double Beds,City-center hotel steps from Union Square ,
Sonesta Select San Francisco Airport Oyster Point Waterfront,https://exp.cdn-hotels.com/hotels/1000000/550000/548400/548380/d1f5b3d8_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1300 Veterans Way South San Francisco 94080 CA,Oyster Point,8.4 miles to city center,3.5 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Parking available,Pet-friendly,Airport transfer,$159 ,https://www.hotels.com/ho169156/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Queen Beds,3-star hotel in South San Francisco with indoor pool and restaurant,
